date,pool_price
2025-01-01,36.689565217391305
2025-01-02,117.15304347826087
2025-01-03,36.93782608695653
2025-01-04,27.410869565217393
2025-01-05,48.333043478260876
2025-01-06,77.4108695652174
2025-01-07,15.362608695652172
2025-01-08,17.677391304347825
2025-01-09,53.71478260869566
2025-01-10,11.231739130434782
2025-01-11,22.76
2025-01-12,53.66130434782609
2025-01-13,8.52913043478261
2025-01-14,15.937391304347827
2025-01-15,19.89782608695652
2025-01-16,9.31608695652174
2025-01-17,31.08304347826087
2025-01-18,37.48304347826087
2025-01-19,36.43826086956522
2025-01-20,35.159130434782604
2025-01-21,15.107826086956523
2025-01-22,17.645217391304346
2025-01-23,21.362608695652174
2025-01-24,18.187826086956523
2025-01-25,21.617391304347827
2025-01-26,13.982173913043477
2025-01-27,12.577391304347826
2025-01-28,22.854347826086954
2025-01-29,20.23391304347826
2025-01-30,29.573043478260868
2025-01-31,34.213478260869564
2025-02-01,63.98173913043478
2025-02-02,46.61086956521739
2025-02-03,382.2686956521739
2025-02-04,209.25260869565219
2025-02-05,50.01826086956522
2025-02-06,42.31173913043478
2025-02-07,46.98869565217392
2025-02-08,34.35304347826087
2025-02-09,30.43913043478261
2025-02-10,43.94869565217391
2025-02-11,167.29478260869564
2025-02-12,38.68782608695653
2025-02-13,48.321739130434786
2025-02-14,45.6604347826087
2025-02-15,58.74782608695652
2025-02-16,44.4195652173913
2025-02-17,23.971739130434784
2025-02-18,44.09782608695652
2025-02-19,29.618695652173916
2025-02-20,29.51521739130435
2025-02-21,13.731739130434782
2025-02-22,7.345217391304348
2025-02-23,1.4456521739130435
2025-02-24,20.442608695652176
2025-02-25,16.87217391304348
2025-02-26,12.211304347826088
2025-02-27,6.989565217391304
2025-02-28,19.07608695652174
2025-03-01,18.28217391304348
2025-03-02,27.352608695652176
2025-03-03,25.169565217391302
2025-03-04,28.733478260869564
2025-03-05,52.732173913043475
2025-03-06,43.77913043478261
2025-03-07,18.94695652173913
2025-03-08,14.82913043478261
2025-03-09,17.415454545454544
2025-03-10,52.807391304347824
2025-03-11,29.756521739130434
2025-03-12,43.33304347826087
2025-03-13,30.24739130434783
2025-03-14,36.33347826086956
2025-03-15,57.71869565217391
2025-03-16,48.92304347826087
2025-03-17,52.42304347826087
2025-03-18,32.01173913043478
2025-03-19,20.67608695652174
2025-03-20,22.106521739130436
2025-03-21,14.787391304347826
2025-03-22,25.74695652173913
2025-03-23,23.141739130434782
2025-03-24,29.10130434782609
2025-03-25,51.76869565217392
2025-03-26,33.20956521739131
2025-03-27,26.592173913043478
2025-03-28,98.42826086956521
2025-03-29,42.04260869565218
2025-03-30,37.41913043478261
2025-03-31,30.541304347826088
2025-04-01,57.01304347826087
2025-04-02,60.33434782608696
2025-04-03,38.59913043478261
2025-04-04,58.7304347826087
2025-04-05,27.84521739130435
2025-04-06,25.83782608695652
2025-04-07,11.72086956521739
2025-04-08,21.69086956521739
2025-04-09,29.936086956521738
2025-04-10,59.07608695652174
2025-04-11,8.58695652173913
2025-04-12,20.609130434782607
2025-04-13,14.501739130434782
2025-04-14,43.01695652173913
2025-04-15,12.991304347826087
2025-04-16,15.605217391304349
2025-04-17,27.66695652173913
2025-04-18,34.11739130434783
2025-04-19,8.849565217391303
2025-04-20,49.81478260869565
2025-04-21,52.81304347826087
2025-04-22,41.004782608695656
2025-04-23,45.353043478260865
2025-04-24,46.12086956521739
2025-04-25,10.02608695652174
2025-04-26,35.26608695652174
2025-04-27,25.945652173913043
2025-04-28,47.74086956521739
2025-04-29,17.36608695652174
2025-04-30,49.27826086956522
2025-05-01,33.09652173913044
2025-05-02,33.80086956521739
2025-05-03,24.98608695652174
2025-05-04,14.061304347826086
2025-05-05,113.49652173913044
2025-05-06,14.90608695652174
2025-05-07,18.503478260869567
2025-05-08,9.527826086956521
2025-05-09,29.127826086956524
2025-05-10,34.68304347826087
2025-05-11,42.71826086956521
2025-05-12,33.34869565217391
2025-05-13,113.99782608695651
2025-05-14,24.91391304347826
2025-05-15,27.920869565217394
2025-05-16,38.17391304347826
2025-05-17,28.414347826086956
2025-05-18,14.772173913043478
2025-05-19,29.286521739130436
2025-05-20,17.16086956521739
2025-05-21,41.253478260869564
2025-05-22,40.94826086956522
2025-05-23,51.05173913043478
2025-05-24,27.649565217391306
2025-05-25,18.582173913043476
2025-05-26,9.307826086956522
2025-05-27,111.82521739130435
2025-05-28,248.61173913043476
2025-05-29,12.15304347826087
2025-05-30,22.88695652173913
2025-05-31,8.408695652173913
2025-06-01,6.947391304347826
2025-06-02,13.16
2025-06-03,11.172173913043478
2025-06-04,89.92739130434782
2025-06-05,43.24260869565217
2025-06-06,12.77695652173913
2025-06-07,6.34695652173913
2025-06-08,176.84826086956522
2025-06-09,12.46913043478261
2025-06-10,28.635652173913044
2025-06-11,29.50521739130435
2025-06-12,167.8313043478261
2025-06-13,19.381304347826084
2025-06-14,64.87
2025-06-15,23.26521739130435
2025-06-16,183.41304347826087
2025-06-17,78.61652173913043
2025-06-18,51.861304347826085
2025-06-19,20.23
2025-06-20,183.25652173913042
2025-06-21,8.460434782608695
2025-06-22,19.32608695652174
2025-06-23,13.140869565217391
2025-06-24,20.857391304347825
2025-06-25,10.848260869565218
2025-06-26,22.050869565217393
2025-06-27,8.497391304347826
2025-06-28,16.245652173913044
2025-06-29,12.777826086956521
2025-06-30,64.99913043478261
2025-07-01,27.759565217391305
2025-07-02,26.25086956521739
2025-07-03,15.882608695652175
2025-07-04,24.729565217391304
2025-07-05,24.671739130434784
2025-07-06,24.890434782608697
2025-07-07,44.05391304347826
2025-07-08,23.243478260869566
2025-07-09,18.034347826086957
2025-07-10,25.873043478260872
2025-07-11,25.864347826086956
2025-07-12,116.26652173913044
2025-07-13,62.580000000000005
2025-07-14,22.774347826086956
2025-07-15,25.10782608695652
2025-07-16,18.648260869565217
2025-07-17,32.78608695652174
2025-07-18,21.704347826086956
2025-07-19,18.317391304347826
2025-07-20,25.522173913043478
2025-07-21,35.67565217391304
2025-07-22,20.082608695652173
2025-07-23,23.639565217391304
2025-07-24,9.95217391304348
2025-07-25,6.674347826086956
