YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M
2025,6,19,3.7217,13.92
2025,6,20,4.9387,13.61
2025,6,21,4.6159,11.02
2025,6,22,5.6222,11.42
2025,6,23,5.3484,9.76
2025,6,24,7.0243,13.49
2025,6,25,5.7998,16.26
2025,6,26,7.0066,17.04
2025,6,27,6.413,15.69
2025,6,28,5.0611,15.8
2025,6,29,8.0318,17.25
2025,6,30,8.2008,19.07
2025,7,1,6.7946,20.21
2025,7,2,6.9852,22.18
2025,7,3,5.6875,15.46
2025,7,4,5.7538,13.74
2025,7,5,7.2115,16.36
2025,7,6,3.5916,14.75
2025,7,7,6.9468,17.49
2025,7,8,7.2871,21.93
2025,7,9,6.3667,17.07
2025,7,10,6.0336,14.77
2025,7,11,7.7496,18.39
2025,7,12,7.4611,18.98
2025,7,13,5.9102,17.54
2025,7,14,5.3434,14.8
2025,7,15,8.1506,14.54
2025,7,16,5.9849,15.64
2025,7,17,6.3898,16.94
2025,7,18,6.8249,17.78
2025,7,19,1.8046,14.16
2025,7,20,3.5126,14.12
2025,7,21,2.2891,12.26
2025,7,22,5.3966,11.95
2025,7,23,5.1146,13.27
2025,7,24,5.7156,19.42
2025,7,25,5.1497,15.68
2025,7,26,4.9834,14.35
2025,7,27,4.661,13.74
2025,7,28,5.6647,15.07
2025,7,29,6.9065,18.28
2025,7,30,7.2144,20.72
2025,7,31,6.7594,21.31
2025,8,1,7.0476,21.41
2025,8,2,5.8423,22.67
2025,8,3,3.6691,19.84
2025,8,4,4.4165,18.75
2025,8,5,5.9558,19.47
2025,8,6,5.8044,20.22
2025,8,7,3.3058,17.1
2025,8,8,3.3029,15.61
2025,8,9,5.6174,17.44
2025,8,10,4.1674,19.47
2025,8,11,6.0468,18.64
2025,8,12,5.3602,20.54
2025,8,13,1.5185,14.76
2025,8,14,5.0366,12.11
2025,8,15,1.5938,11.11
2025,8,16,3.3372,15.18
2025,8,17,6.3221,17.11
2025,8,18,5.0633,16.87
2025,8,19,5.2639,17.62
2025,8,20,4.2886,14.47
2025,8,21,4.6783,12.53
2025,8,22,5.5202,14.37
2025,8,23,5.5229,15.82
2025,8,24,6.1135,18.67
2025,8,25,5.6827,19.93
2025,8,26,5.6234,21.7
2025,8,27,5.6947,21.6
2025,8,28,5.6203,22.47
2025,8,29,5.3174,22.25
2025,8,30,4.7628,21.6
2025,8,31,5.0258,19.97
2025,9,1,3.1082,16.63
2025,9,2,3.9672,15.17
2025,9,3,3.6696,19.02
2025,9,4,5.6388,12.8
2025,9,5,5.3988,13.14
2025,9,6,4.9848,16.13
2025,9,7,2.7792,16.75
2025,9,8,4.361,18.25
2025,9,9,4.1678,19.14
2025,9,10,4.315,18.57
2025,9,11,4.8154,17.85
2025,9,12,4.1974,18.14
2025,9,13,4.3378,18.42
2025,9,14,3.9941,17.39
2025,9,15,4.1138,15.93
2025,9,16,4.7938,14.62
2025,9,17,4.5518,16.64
2025,9,18,4.2821,15.07
2025,9,19,4.0997,14.64
2025,9,20,3.8076,17.66
2025,9,21,3.4058,14.85
2025,9,22,4.3966,13.11
2025,9,23,3.9545,15.46
2025,9,24,1.7808,10.94
2025,9,25,3.7464,12.26
2025,9,26,4.0915,10.9
2025,9,27,2.819,12.49
2025,9,28,3.0665,9.93
2025,9,29,2.4288,13.37
2025,9,30,1.668,12.8
2025,10,1,1.8922,11.29
2025,10,2,3.3096,10.99
2025,10,3,3.1344,11.08
2025,10,4,2.7871,5.57
2025,10,5,3.4529,2.86
2025,10,6,1.9178,5.36
2025,10,7,2.2572,12
2025,10,8,2.826,6.31
2025,10,9,3.3842,5.98
2025,10,10,3.0701,9.58
2025,10,11,1.2298,7.38
2025,10,12,1.4998,-0.83
2025,10,13,2.7235,-2
2025,10,14,3.0746,-0.01
2025,10,15,2.593,2.98
2025,10,16,2.6551,6.5
2025,10,17,2.3515,5.81
2025,10,18,2.8351,5.51
2025,10,19,1.2977,4.5
2025,10,20,2.0782,4
2025,10,21,2.4098,5.67
2025,10,22,2.2795,5.12
2025,10,23,2.3662,8.29
2025,10,24,1.2334,11.49
2025,10,25,2.3614,7.42
2025,10,26,0.9302,3.27
2025,10,27,0.9545,2.6
2025,10,28,2.2721,1.48
2025,10,29,1.6618,3.6
2025,10,30,1.267,2.21
2025,10,31,1.2677,2.14
2025,11,1,1.6987,3.89
2025,11,2,1.9666,3.02
2025,11,3,1.7549,1.73
2025,11,4,1.9812,0.05
2025,11,5,1.3253,-0.27
2025,11,6,0.6206,-1.62
2025,11,7,0.3211,-3.87
2025,11,8,0.8551,-0.58
2025,11,9,0.8203,0.4
2025,11,10,1.3786,2.99
2025,11,11,1.5286,1.45
2025,11,12,1.3212,-0.38
2025,11,13,1.0639,0.45
2025,11,14,1.6046,-2.91
2025,11,15,1.3205,-1.6
2025,11,16,1.2761,0.28
2025,11,17,0.8129,-0.58
2025,11,18,0.5844,-2.62
2025,11,19,1.4225,-4.23
2025,11,20,0.9689,-4.25
2025,11,21,0.6312,0.84
2025,11,22,1.1369,-1.14
2025,11,23,1.0942,-2.81
2025,11,24,1.0853,-5.98
2025,11,25,1.2396,-6.85
2025,11,26,0.8254,-7.22
2025,11,27,0.4493,-7.02
2025,11,28,0.4171,-10.66
2025,11,29,1.0231,-13.72
2025,11,30,0.6583,-10.9
2025,12,1,0.1836,-3.4
2025,12,2,0.497,-6.81
2025,12,3,0.4106,-4.9
2025,12,4,0.3146,-1.88
2025,12,5,0.4385,-13.62
2025,12,6,0.5952,-16.17
2025,12,7,0.534,-12.23
2025,12,8,0.7675,-6.28
2025,12,9,0.7061,-14.71
2025,12,10,0.5014,-14.4
2025,12,11,0.8191,-25.84
2025,12,12,0.594,-24.36
2025,12,13,0.6094,-16.93
2025,12,14,0.6907,-8.85
2025,12,15,0.3912,-1.66
2025,12,16,0.6814,-12.29
2025,12,17,0.5035,-20.74
2025,12,18,0.7217,-17.21
2025,12,19,0.5705,-22.27
2025,12,20,0.834,-26.26
2025,12,21,0.7841,-25.49
2025,12,22,0.6557,-25.6
2025,12,23,0.8765,-23.61
2025,12,24,0.5628,-23.67
2025,12,25,0.9619,-20.8
2025,12,26,0.5664,-17.82
2025,12,27,0.8201,-24.15
2025,12,28,0.8611,-13.29
2025,12,29,0.5134,-0.53
2025,12,30,0.5333,-3.21
2025,12,31,0.3934,-11.43
